Results will be saved at.. results/CH/finetuning
ba0513ddafbb:0
encoder: {'modelname': 'mlp', 'd_in': 10, 'd_out': 128, 'd_layers': [128]}
decoder: {'modelname': 'identity'}
predictor: {'modelname': 'identity'}
Results will be saved at.. results/CH/finetuning
ba0513ddafbb:0
encoder: {'modelname': 'mlp', 'd_in': 10, 'd_out': 128, 'd_layers': [128]}
decoder: {'modelname': 'identity'}
predictor: {'modelname': 'identity'}
Results will be saved at.. results/CH/finetuning
ba0513ddafbb:0
encoder: {'modelname': 'mlp', 'd_in': 10, 'd_out': 128, 'd_layers': [128]}
decoder: {'modelname': 'identity'}
predictor: {'modelname': 'identity'}
EPOCH: 78 ... SCORE: train 0.87141, val 0.86312, test 0.83687
EPOCH: 79 ... SCORE: train 0.87156, val 0.86375, test 0.83812
EPOCH: 80 ... SCORE: train 0.87094, val 0.86312, test 0.83750
EPOCH: 81 ... SCORE: train 0.87078, val 0.86125, test 0.83812
EPOCH: 82 ... SCORE: train 0.87109, val 0.86250, test 0.83625
EPOCH: 83 ... SCORE: train 0.87187, val 0.86250, test 0.84000
EPOCH: 84 ... SCORE: train 0.87125, val 0.86250, test 0.83875
EPOCH: 85 ... SCORE: train 0.87141, val 0.86250, test 0.83750
EPOCH: 86 ... SCORE: train 0.87094, val 0.86250, test 0.83687
EPOCH: 87 ... SCORE: train 0.87156, val 0.86187, test 0.83687
EPOCH: 88 ... SCORE: train 0.87187, val 0.86250, test 0.83750
EPOCH: 89 ... SCORE: train 0.87172, val 0.86187, test 0.83812
EPOCH: 90 ... SCORE: train 0.87094, val 0.86187, test 0.83625
EPOCH: 91 ... SCORE: train 0.87094, val 0.86187, test 0.83625
EPOCH: 92 ... SCORE: train 0.87078, val 0.86187, test 0.83625
EPOCH: 93 ... SCORE: train 0.87094, val 0.86187, test 0.83687
EPOCH: 94 ... SCORE: train 0.87109, val 0.86187, test 0.83687
EPOCH: 95 ... SCORE: train 0.87094, val 0.86187, test 0.83687
EPOCH: 96 ... SCORE: train 0.87109, val 0.86187, test 0.83687
EPOCH: 97 ... SCORE: train 0.87109, val 0.86187, test 0.83687
EPOCH: 98 ... SCORE: train 0.87109, val 0.86187, test 0.83687
EPOCH: 99 ... SCORE: train 0.87109, val 0.86187, test 0.83687
EPOCH: 100 ... SCORE: train 0.87109, val 0.86187, test 0.83687
